headline,press,created_at,relation,prosorcons
"서울시, 서울로봇인공지능과학관 개관",서울경제,2024.08.20.,1,w
국민 절반 보유한 車…47년째 '사치세',서울경제,2024.08.20.,1,n
15㎏ 협동로봇에 '1톤 안전기준'…주차로봇은 아파트 도입 막혀,서울경제,2024.08.20.,1,w
"모처럼 여야 한목소리… ""첨단산업 지원 속도가 중요""",디지털타임스,2024.08.20.,2,n
민주당 원로·젊은 정치인 한곳에… 전대 분위기 `후끈`,디지털타임스,2024.08.20.,1,w
‘3분 30초’ 기립박수 받은 바이든 연설 어땠길래,이데일리,2024.08.20.,1,n
"트럼프 ""전기차 세액공제 폐지""",디지털타임스,2024.08.20.,1,n
"현대차·기아 전기차 포비아 정면 돌파 ""배터리 충전량과 화재 관계없다...",매일신문,2024.08.20.,2,n
"눈물 보인 바이든…""50년 정치 인생 최고의 선택은 해리스""",머니투데이,2024.08.20.,2,n
"""건축허가 줄 땐 언제고"" 납 공장, 영주시에 손배소",매일신문,2024.08.20.,1,n
[기고]EU 공급망실사법(CS3D) 규제와 국내 기업 대응방안 고민할 때,전자신문,2024.08.20.,1,w
"곽재선 회장, KGM 새 비전 선포…""전 세계인에 사랑받는 회사 될 것""",이데일리,2024.08.20.,2,n
"시디즈, e스포츠 선수에 최적화…게이밍 의자 'GC PRO'",한국경제,2024.08.20.,1,n
"KGM ‘액티언’으로 새 출발…""실용‧창의성 결합으로 즐거움 제공""",서울경제,2024.08.20.,2,y
"충남도, 15개 국방벤처기업 지원 5년간 연장",대전일보,2024.08.20.,1,y
경북 영천지역 상공인 온정의 손길 줄이어,매일신문,2024.08.20.,1,y
中서 동력 잃은 현대차… 판매량 30% 뚝,디지털타임스,2024.08.20.,1,y
첨단산업 지원에 머리 맞댄 국회-기업…“우리 정부 더 적극 나서야”,전자신문,2024.08.20.,1,y
"너무 더워서...'여름 축제'였던 제천음악영화제, ‘초가을’ 영화제로 ...",한국일보,2024.08.20.,1,y
"트럼프는 IRA 보조금 폐지, 해리스는 법인세 인상..사면초가 韓",전자신문,2024.08.20.,1,y
"'전기차' 둔화 여파 얼마나…GM, 소프트웨어 직원 1000명 해고",머니투데이,2024.08.20.,2,y
"KTR, 파라과이 의료기기 수출 GMP 인증 기관 선정",전자신문,2024.08.20.,1,w
'K뷰티'의 힘…역직구 시장 1위 차지,이데일리,2024.08.20.,1,n
"충남 국방벤처센터, 15개 국방 벤처기업 5년간 지원 연장",전자신문,2024.08.20.,1,w
"휴비스, 화학 재생 LMF '에코에버 엘엠' 상업 생산 본격화",전자신문,2024.08.20.,2,n
"검찰, '시청역 역주행' 운전자 구속기소...""다중 인명피해 가중처벌 필...",머니투데이,2024.08.20.,1,n
"트럼프 ""해리스는 공산주의자…필수품은 100% 미국서 만들 것""",머니투데이,2024.08.20.,1,y
"“전기차 세액공제 터무니없어” 트럼프, 재집권시 폐지 시사",문화일보,2024.08.20.,1,y
관례깨고 첫날 무대 오른 해리스 “한목소리로 전진”,문화일보,2024.08.20.,1,n
현대차·기아 “전기차 배터리 100% 완충해도 안전”,문화일보,2024.08.20.,1,y
"수출 품목 다변화, 갈 길 멀다[시평]",문화일보,2024.08.20.,1,y
현대차 판매점 681곳에 개방형 전기차 충전소 설치,헤럴드경제,2024.08.20.,1,y
트럼프 “전기차 세액공제 폐지 고려”,헤럴드경제,2024.08.20.,1,y
롯데렌터카 캐릭터 ‘모빌리티 프렌즈’ 공개,헤럴드경제,2024.08.20.,1,n
SAF 의무화 앞둔 정유업계 “세액공제 확대해야”,헤럴드경제,2024.08.20.,1,w
현대차·기아 “전기차 100% 충전해도 안전”,헤럴드경제,2024.08.20.,1,n
회복 더딘 자동차종목 “평균 회귀’ 가능성 높다”,헤럴드경제,2024.08.20.,1,n
"[헤럴드시론] 노조 천국 vs 기업 천국, 기로에 선 대한민국",헤럴드경제,2024.08.20.,1,y
대기업 직원 고령화…20대 줄고 50대 늘어,국제신문,2024.08.20.,1,w
"현대차의 배터리관리 자신감… ""전기차 100% 충전해도 안전""",디지털타임스,2024.08.20.,1,n
"휴비스, 폐플라스틱 재생섬유 `에코에버 엘엠` 상업생산 시작",디지털타임스,2024.08.20.,1,w
"현대차·기아 “전기차 배터리, 100% 완충해도 안전”",서울경제,2024.08.20.,1,w
현대차·기아 “전기차 배터리 100% 충전해도 안전하다”,전자신문,2024.08.20.,2,y
"""전기차 100% 충전해도 안전""…현대차·기아, 배터리 관리 자신감",머니투데이,2024.08.20.,1,y
"“바뀌는 게 있다면, 분신자살이라도 하고 싶어” 두 딸 잃은 아버지의...",경향신문,2024.08.20.,1,n
‘덜 오른’ 자동차 테마 시동…증권가는 하이브리드 수혜株 ‘픽’,이데일리,2024.08.20.,2,y
빅테크보다 잘 나가는 월마트? 왜?,이데일리,2024.08.20.,1,w
"外人 매도 전환에 제동 걸린 코스피…""당분간 관망""",이데일리,2024.08.20.,1,w
전기차에 불나면 자동으로 방염질식포[호반혁신기술공모전],서울신문,2024.08.20.,1,y
"車는 중국에, 전자기기는 대만에… 한국 수출액 증가율 역전당했다",서울신문,2024.08.20.,1,n
코스피 상장사 영업익 100조 돌파… 2023년 2배 육박,세계일보,2024.08.20.,2,w
"[단독] 올해 발생한 전기차 화재 절반 이상, 멀쩡히 주차 중 불났다",한국일보,2024.08.20.,1,n
장재훈 현대차 사장 “수소는 미래 에너지 전환 핵심 요소”,국민일보,2024.08.20.,1,y
[애널리스트의 마켓뷰]미중 중심 휴머노이드 로봇 개발 본격화,동아일보,2024.08.20.,2,w
차값보다 싸진 ‘인간형 로봇’… 車업계 도입 바람,동아일보,2024.08.20.,1,y
"尹, 내달 체코 방문… 최태원-정의선-박정원 회장 등 동행",동아일보,2024.08.20.,2,w
일하고 생각하는 로봇과 만나다,동아일보,2024.08.20.,2,w
"[경제계 단신]금호타이어, 폭스바겐 T7에 타이어 공급 外",동아일보,2024.08.20.,1,y
"충남도, 미·독·일 4개 기업과 2억 달러 투자협약",국민일보,2024.08.20.,2,w
[단독] 경찰차가 낸 교통사고 3년새 40% ↑… ‘긴급상황’ 규정 필요,국민일보,2024.08.20.,2,w
[천자칼럼] 저탄소 시대의 항공유 전환,한국경제,2024.08.20.,2,w
차량 공유·카풀… ‘모빌리티 혁신’ 줄줄이 좌초,조선일보,2024.08.20.,1,n
中시장 해외 차업체 점유율 33%로 추락,조선일보,2024.08.20.,1,n
기업들까지도 배우겠다는 ‘현대車·양궁 간 협업’,조선일보,2024.08.20.,2,y
[디지털 세상 읽기] 로보택시는 오고 있을까?,중앙일보,2024.08.20.,2,w
"강원도-여야, 제2경춘국도 조기 착공 힘 모은다",강원도민일보,2024.08.20.,2,w
[사설] 中·대만 수출 급증했는데 韓 게걸음…주력산업 경쟁 우위 회복...,서울경제,2024.08.20.,2,w
"[기고] 바이오파운드리, 정부 전폭적인 투자 반가워",세계일보,2024.08.21.,2,y
"車업계, 배터리 모니터링 강화로 고객 불안 해소 나서",세계일보,2024.08.21.,1,y
“중고차 사면 저금리 대환대출”…불법대부 상품 ‘자산론’ 주의보,경향신문,2024.08.21.,2,n
울산 새 아파트 전기차 지상주차 의무화(종합),국제신문,2024.08.21.,1,y
조주완 LG전자 대표 “2030년 ‘트리플 7’ 달성할 것”,경향신문,2024.08.21.,2,w
상반기 상승하던 ‘기업 체감 경기’ 두 달째 하락세,경향신문,2024.08.21.,2,n
"업계 “기술로” 정부 “규제로”…‘전기차 화재’ 엇갈린 해법, 되레...",경향신문,2024.08.21.,2,n
"벤처·대기업 해외 공동진출 지원…중기부, ‘딥테크 밸류업 프로그램’...",서울경제,2024.08.21.,1,w
"EU, 중국산 전기차 추가관세 또 소폭 하향",세계일보,2024.08.21.,1,w
‘폭염’ 디스토피아 서울 [시론],한겨레,2024.08.21.,2,n
"'백기사' KCC…시총 2.6兆인데, 보유 주식 가치만 4.5兆",한국경제,2024.08.21.,2,y
"잘나가던 2차전지 소재, ‘전기차 캐즘’ 여파 조정 국면 진입",매일신문,2024.08.21.,1,y
"현대차그룹, 美 전기차 시장 점유율 10%…포드·GM 앞서며 2위로 올라",매일신문,2024.08.21.,1,w
전기차 업계 '안전' 앞세워 '배터리 공포' 진화 중…실시간 배터리 이상...,매일신문,2024.08.21.,1,n
[주목! 대구경북 혁신기업] 이진욱 대진분체산업 대표,매일신문,2024.08.21.,1,n
"美 Z세대 ""돈 많이 들어…운전 안해""",한국경제,2024.08.21.,2,n
"EU, 중국산 전기차 관세 폭탄… 中은 반보조금 조사 '맞불' [中-EU 무역 ...",파이낸셜뉴스,2024.08.21.,2,w
"""할인 늘려도 아무도 안와요""… '전기차 공포증'에 발길 뚝 [현장르포]",파이낸셜뉴스,2024.08.21.,2,n
[테헤란로] 자동차 제조사의 책무,파이낸셜뉴스,2024.08.21.,2,n
경기도 ‘전기차 화재 걱정’ 불끈다… 충전소 지상이전비 지원,파이낸셜뉴스,2024.08.21.,2,y
조직 체질 개선·차량용 SW '시너지',파이낸셜뉴스,2024.08.21.,1,y
"집중호우에 침수피해 급증…""내년 車보험료 인하 어려워""",서울경제,2024.08.21.,1,y
[데스크 칼럼] 전기차 시장 ‘빙하기’ 오나,부산일보,2024.08.21.,2,w
값진 땀방울… 현대건설 사회공헌 3대 영역에 방점,파이낸셜뉴스,2024.08.21.,2,y
'반도체 착시' 걷어내니 역성장,매일경제,2024.08.21.,1,y
日 수출액 8개월 연속 증가…지나친 엔저 의존은 '한계',서울경제,2024.08.21.,1,n
"LG전자 '미래비전 7·7·7' 1년 성적표…조주완 대표 ""상반기 기업가치 ...",한국일보,2024.08.21.,2,n
"LG전자, 플랫폼·B2B서만 매출 52조 도전",한국경제,2024.08.21.,2,n
"새로운 먹거리? 과도한 기대?... TSMC 첫 유럽 공장, 독일서 첫 삽",한국일보,2024.08.21.,1,w
"LG엔솔 김동명 ""BMS 솔루션 대체 불가능한 1위""",한국경제,2024.08.21.,1,n
반도체 빼곤 활력 잃은 제조업의 우울한 현실 [사설],매일경제,2024.08.21.,2,n
"""배터리 평소 완충 않는 게 낫지만, 충전율 90% 제한이 안전 보장은 못 ...",한국일보,2024.08.21.,2,w
[기자24시] 과도한 전기차 포비아는 '독',매일경제,2024.08.21.,2,n
"[인터뷰] ""부산만의 콘텐츠 잘 활용하면 세계 경쟁력 충분""",부산일보,2024.08.21.,1,y
"[MK히든챔피언] 브레이크 작동 자동기록, 급발진 여부 판단",매일경제,2024.08.21.,1,n
박스권場 고배당 ETF '달콤'…올 수익률 벌써 40% 넘었다,한국경제,2024.08.21.,2,y
"현대차 협력사, 1100억 투자…경주에 전기차 부품공장 건립",한국경제,2024.08.21.,1,w
‘관세 vs 관세’ 중국과 EU 무역 긴장 심화 우려,이데일리,2024.08.21.,1,w
"신산업까지 확대되는 중국발 공급 과잉, 어느 정도이기에…",경향신문,2024.08.21.,2,y
"어서와, 가을아 자연스럽게 만발하는 멋 추구해볼래?",매일경제,2024.08.21.,2,y
"'전기차 포비아' 신뢰로 넘는다...LG엔솔, 안전성 확보 기술 박차",머니투데이,2024.08.21.,2,y
"‘전기차 열관리’ 확장하는 현대위아, 기아 ‘EV4’에도 탑재",이데일리,2024.08.21.,1,w
재도약 시동 건 KGM·르노코리아…글로벌 시장도 '정조준' 할까,머니투데이,2024.08.21.,1,w
"‘룸’ 말고, ‘방’에서 삽시다 [크리틱]",한겨레,2024.08.21.,1,n
"기업 심리 두달째 악화…내수회복 지연, 글로벌 경기 불확실 영향",경향신문,2024.08.21.,1,n
"[포토뉴스]강릉소방서, 전기차 충전시설 보유 지하주차장 안전점검",강원일보,2024.08.21.,1,y
"B2C·하드웨어→B2B·소프트웨어로…LG전자, 체질 변화 '순항 중'",머니투데이,2024.08.21.,1,y
한여름 물폭탄에 손보사 손해율 `雨雨`,디지털타임스,2024.08.21.,1,y
"'가전 일변도 탈피' LG 조주완式 체질개선…""새 먹거리 자신있다""",이데일리,2024.08.21.,2,w
"LG전자, B2B서 2030년 매출 52% 창출",디지털타임스,2024.08.21.,2,n
배터리 제조사 공개부터 전기차 강제 견인까지... 전기차 화재 예방 입...,한국일보,2024.08.21.,1,y
"현대차, 내연기관 '캐스퍼'도 얼굴 바꾼다…전기차와 쌍끌이",전자신문,2024.08.21.,2,w
"전기차 공포에… 아이오닉 9, 美서 첫선",디지털타임스,2024.08.21.,1,n
벤처·스타트업-삼성·현대차와 개방형 혁신 추진…한국판 '딥테크 밸류...,전자신문,2024.08.21.,1,w
"양산 황산공원, 어린이 포함한 가족 단위 방문객 천국으로 탈바꿈",부산일보,2024.08.21.,2,w
"전기차 2.6% 세종시, 아파트 지하충전시설 '지상화' 한다",대전일보,2024.08.21.,1,n
올해 1분기 청년층 일자리 10만개 감소…고령층은 26만개↑,국제신문,2024.08.21.,2,n
[기고] 이 세대는 어떻게 기록될 것인가,매일신문,2024.08.21.,2,w
1분기 임금근로 일자리 31만4000개↑…20대 일자리 줄고 50·60대 ‘쑥’,이데일리,2024.08.21.,1,y
"EU, 中전기차 최고관세 46.3%로 소폭 내려",문화일보,2024.08.21.,2,n
'서학개미 열풍'에...해외 나간 한국인 돈 '역대 최대',전자신문,2024.08.21.,2,y
이젠 ‘스마트라이프 명가’… LG전자 “트리플7 달성 올인”,문화일보,2024.08.21.,1,y
LG전자 ‘1조사업 삼각편대’...2030 경영목표 조기달성 자신감,헤럴드경제,2024.08.21.,1,w
"루타스, 대한민국 캠핑대전에서 순수 전기기반 캠퍼밴 '루타40' 선봬",전자신문,2024.08.21.,1,y
“BMS 고도화가 답” LG엔솔 ‘배터리 안전진단 SW’사업 확대,헤럴드경제,2024.08.21.,1,y
“‘자산론’ 주의하세요”…중고차 매개 불법 대부행위 단속,경향신문,2024.08.21.,1,w
"예산군, 노후경유차 배출가스 저감장치 추가 지원",대전일보,2024.08.21.,2,y
반도체 ‘실탄 장전’ vs 車 ‘주주환원’ 강화,헤럴드경제,2024.08.21.,1,y
"금호타이어, 폭스바겐 멀티밴 T7에 공급",헤럴드경제,2024.08.21.,1,w
한국타이어 ‘다이나프로 HPX’ 유럽 출시,헤럴드경제,2024.08.21.,1,w
"곽재선 KGM 회장 “액티언, 고객 사랑 많이 받을 것”",헤럴드경제,2024.08.21.,1,w
"퀄컴 칩 줄까 인텔 칩 줄까?…AI PC, 이제는 칩 골라쓰는 시대",머니투데이,2024.08.21.,2,w
"""이상징후 검출률 90%""…LG엔솔 '배터리 안전진단 소프트웨어' 본격화",서울경제,2024.08.21.,1,w
반도체 호황 탄 수출…8월 들어서도 ‘고공행진’(종합),이데일리,2024.08.21.,2,w
"국토부, 테슬라·기아등 10만3543대 리콜",전자신문,2024.08.21.,1,y
"수출도 내수도 ""비관적""... 기업 체감경기 10개월 만 최대 하락",한국일보,2024.08.21.,1,y
"'배터리 이상징후 미리 감지'…LG엔솔, 안전진단 SW 사업 확대",이데일리,2024.08.21.,1,y
"EU, 중국산 전기차 관세 인하 신호…중 ‘강경대응 고수’",한겨레,2024.08.21.,1,n
[세평] 세종컨벤션뷰로,대전일보,2024.08.21.,2,w
"주차로봇에 '기계식 주차장' 법?…""제도 개선·사업성 한계 넘어야""",이데일리,2024.08.21.,2,n
“전기차 100% 충전해도 불 안 난다”,경향신문,2024.08.21.,1,y
"KGM, 실용적 창의성 전략… 업계 첫 네이버서 차 판다",세계일보,2024.08.21.,1,y
업무용 전기차 53% 밀집… 세종청사도 지하 충전기 화재 비상,서울신문,2024.08.21.,2,n
현대차·기아 “전기차 배터리 충전량과 화재 발생 관계없어”,세계일보,2024.08.21.,1,y
트럼프 “전기차 세액공제 폐지”… 해리스 “법인세율 21→28%”,서울신문,2024.08.21.,1,n
생산은 늦고 임금도 줄고… 경직적 ‘주 52시간 근무’ 승자는 없다[규...,서울신문,2024.08.21.,2,n
‘서’ 있기만 해도 위험한 녀석들... 경기도내 장기 무단방치車 몸살,경기일보,2024.08.21.,2,n
해리스 “싸우면 이긴다” 바이든 “美영혼 지키자” [2024 미국 대선-민...,서울신문,2024.08.21.,1,w
"""전기차 고를 땐 CATL 확인하라"" 세계 1위 中배터리의 자신감",중앙일보,2024.08.21.,2,y
[스타트업 리포트] '버스가 지구를 살린다' e-버스 만든 한상우 위즈돔...,한국일보,2024.08.21.,2,w
"""서울시의 충전율 90% 이하는 근거 부족""...현대차그룹, 팔 걷어붙였다",한국일보,2024.08.21.,1,w
국내 첫 ‘로봇·AI’ 전문… 서울로봇인공지능과학관 개관,국민일보,2024.08.21.,1,n
"불붙는 전기차주-이웃 갈등… 車업계 “완충, 화재와 무관”",국민일보,2024.08.21.,2,w
TSMC 글로벌 공장 증설 속도전… 美 제재 대비 차원?,국민일보,2024.08.21.,1,y
‘전기차 공포’ 진화 나선 車업계 “배터리 두뇌가 과충전 차단”,동아일보,2024.08.21.,1,w
"재계-학계, 與野에 “반도체 직접 보조금 지원을”",동아일보,2024.08.21.,1,n
9월 기업경기 전망… 넉달만에 하락세로,동아일보,2024.08.21.,2,n
침수조 필요한데… 전기차 화재 매뉴얼에 “물 뿌려 진압하라”,동아일보,2024.08.21.,1,w
"충남도, 국방벤처기업 15곳 지원 5년 연장",국민일보,2024.08.21.,1,n
"트럼프 “미국산 소형트럭 성공, 내가 한국산 관세 연장한 덕”",국민일보,2024.08.21.,1,n
“배터리 충전량이 화재 주범 아냐”,조선일보,2024.08.21.,1,y
팔팔한 20代 공채 사라지니… 대기업이 늙어간다,조선일보,2024.08.21.,1,n
강원도 주택가격전망지수 껑충…소비심리지수는 한풀 꺾여,강원도민일보,2024.08.21.,1,w
"트럼프 ‘한국산 관세’ 업적 자랑, 전기차 세액공제 폐지 시사",중앙일보,2024.08.21.,1,n
[기자가만난세상] 안전 위협하는 차량 ‘틴팅’,세계일보,2024.08.22.,1,w
"학생 진로선택 기회 넓히고, 새로운 환경 적응 돕는다",대전일보,2024.08.22.,2,n
한국 스키팀 뉴질랜드서 차량 사고 ‘참변’,경향신문,2024.08.22.,1,n
충전소 지상 설치시 용적율 완화·방화벽 도입…지자체 전기차 포비아 ...,서울경제,2024.08.22.,2,n
"[기고] 전기차 배터리 폭발, 탄력적 안전규제 시급",디지털타임스,2024.08.22.,2,n
'100세 시대' 중년들에 전하는 인생을 살아가는 법 [내책 톺아보기],파이낸셜뉴스,2024.08.22.,2,y
"""돈 안된다"" 전기차 계획 속속 접는 글로벌 완성차",파이낸셜뉴스,2024.08.22.,2,y
"""늘 쾌적한 車실내""… 현대차·기아 열관리 新기술 공개",파이낸셜뉴스,2024.08.22.,1,y
현대차·기아 `냉난방 패러다임` 바꾼다,디지털타임스,2024.08.22.,1,n
캐나다 철도 결국 멈췄다… 북미 '물류 차질' 현실로,서울경제,2024.08.22.,2,y
"현대차, 배터리 연구 '가속'…공급망·원가경쟁력 확보 포석",매일경제,2024.08.22.,1,w
"美, 전기차 속도조절에…日은 ""추격 기회"" 가속페달",서울경제,2024.08.22.,1,y
전기차 캐즘에 화재까지 올해 구매보조금 지급 뚝,매일경제,2024.08.22.,1,n
[팩트체크]'과충전' 놓고 격돌한 민관…쟁점 5가지,아시아경제,2024.08.22.,1,y
"현대차·기아, 신용 A등급 첫 '트리플 크라운' 달성",한국경제,2024.08.22.,1,y
車온도 10도 뚝 '선팅의 신세계',매일경제,2024.08.22.,1,w
포브스 2000대 기업 한국기업 61개 그쳐,매일경제,2024.08.22.,2,w
車온도 10도 뚝 '선팅의 신세계',매일경제,2024.08.22.,1,n
"주차장 전기차 화재 예방…롯데건설, 시스템 구축나서",한국경제,2024.08.22.,2,n
[IR52 장영실상] '바이오 소부장' 선두주자 큐리오시스·입셀에 기술혁...,매일경제,2024.08.22.,1,w
AI·비즈니스 접목 노하우 배워요,매일경제,2024.08.22.,1,w
공급망 안정 지름길 놓쳐…美 대선 앞두고 대응전략도 부재,서울경제,2024.08.22.,1,n
아르데코 녹아든 도쿄 미술관…90년前 학살자의 대저택이었다,한국경제,2024.08.22.,1,n
"한·중, 헤어지는 중입니다 [특파원 칼럼]",한겨레,2024.08.22.,2,n
"""완충 전기차 안 빼면 1분에 500원""…서울시 조례 예고",디지털타임스,2024.08.22.,2,w
서한이노빌리티 “스마트공장 고도화로 제조 혁신할 것”[AI코리아대상...,이데일리,2024.08.22.,2,n
"전기차 화재 대책 국회 논의 활발, 여야 안전관리 토론회 열어",매일신문,2024.08.22.,2,n
주한라오스 대사 “남북한 관계 개선에 역할 하고 싶어”[대사열전],이데일리,2024.08.22.,1,y
"한은, 성장률 전망치 2.5%→2.4% 낮췄지만…""'경기부진' 아냐""",머니투데이,2024.08.22.,2,w
AI 다음은 로봇株 애플·삼전 주목을 [MBN GOLD 시황저격],매일경제,2024.08.22.,1,y
"[카&테크]“자율주행 넓은 시야각 확보” 에스오에스랩, 고성능 라이다...",전자신문,2024.08.22.,1,w
[최은수의 AI와 뉴비즈] 〈3〉AI가 그림·디자인·영상 제작…새로운 '시...,전자신문,2024.08.22.,1,y
[클릭!이 차]10만 유럽인이 반한 지프 전기 SUV '어벤저',전자신문,2024.08.22.,2,y
의왕시 월암지구 미래모빌리티·철도분야·소재부품장비 기업 유치,경기일보,2024.08.22.,1,n
"""땡볕 주차도 차양막 필요없어요"" 현대차·기아의 ‘냉난방 신기술’ 셋",이데일리,2024.08.22.,1,y
"케이카 ""韓소비자, 제네시스 하이브리드차 출시 희망""",디지털타임스,2024.08.22.,1,y
"""장비 도입·훈련 강화""…세종소방본부, 전기차 화재 예방 대응 총력",대전일보,2024.08.22.,2,y
글로벌 2000 기업 중 한국 61개… 순이익은 상위 10개국 중 `꼴찌`,디지털타임스,2024.08.22.,2,y
"삼성·현대차 빼면 텅…한국 스타기업, 영 안 나오네",이데일리,2024.08.22.,1,n
[에듀플러스]선배에게 듣는 진학상담〈44〉부산대 광메카트로닉스공학...,전자신문,2024.08.22.,2,n
액체냉매 NO… 이젠 공기로 냉각 OK,디지털타임스,2024.08.22.,2,y
"""차량 실내를 쾌적하게"" 현대차·기아, 열(熱)잡는 3대 신기술 공개",서울경제,2024.08.22.,1,y
"“新시장 인도, 비전2030 전초기지” LS, 글로벌 확장 가속도 [Hello India...",헤럴드경제,2024.08.22.,2,y
“배터리 과충전 화재 0건...‘전기차 성장통’ 극복에 최선”,헤럴드경제,2024.08.22.,1,y
"현대차·기아, 첨단 기술로 모빌리티 냉난방 패러다임 바꾼다",헤럴드경제,2024.08.22.,1,w
"'전기 SUV' 버린 포드, 하이브리드 집중…한국과 배터리 협력도 강화",머니투데이,2024.08.22.,1,y
"KGMC, 파라과이에 전기버스 5대 수출",디지털타임스,2024.08.22.,1,y
금융주 ‘랠리’ 한국 넘어 日·中·인도까지,헤럴드경제,2024.08.22.,2,y
"LGD, '꿈의 OLED 소재' 청색 인광 패널 개발",전자신문,2024.08.22.,2,y
"불 붙은 '배터리' 화재사고, 보험으로 대비할 수 있을까",전자신문,2024.08.22.,2,y
"산업 대전환의 시대… ‘세상에 없는 기술’로 앞서야 산다[복합위기, ...",문화일보,2024.08.22.,2,y
“초격차 전략의 핵심은 시간 싸움… ‘타임 투 마켓’에 우선순위 둬야...,문화일보,2024.08.22.,2,n
“한기대 졸업생은 경력같은 신입”… 기업이 반했다,문화일보,2024.08.22.,2,n
‘글로컬 대학’으로 변신하는 울산대… 2차전지·탄소중립 융합대학원...,문화일보,2024.08.22.,1,n
건설경기 침체에도 페인트 업계 상반기 ‘선방’,아시아경제,2024.08.22.,1,w
"르노코리아 ‘그랑 콜레오스’, 부산공장 부활 신호탄",부산일보,2024.08.22.,2,y
"전동킥보드·스쿠터 음주·무면허, 자동차 수준 처벌 강화 법안 발의",경향신문,2024.08.22.,2,y
[대일논단] 대전 도시철도 2호선 수소연료전지 트램의 또 다른 효과,대전일보,2024.08.22.,1,y
이륜자동차 불법 개조의 위험성…'커스텀 바이크'의 숨겨진 위협,매일신문,2024.08.22.,1,y
전기차 불안 높인 열폭주 현상 뭐기에…과학적 원리는,이데일리,2024.08.22.,1,y
"""세계 전력망 2050년까지 2배로 늘려야…연 666조 이상 들 것""",이데일리,2024.08.22.,1,y
"테슬라, 美서 모델X 9100여대 리콜…""루프 조각 분리 위험""",아시아경제,2024.08.22.,1,n
"바이든 잇는 ‘해리스노믹스’… 한국 수출 호재, 美 증시는 긴장[경제...",서울신문,2024.08.22.,2,y
[기억할 오늘] 대통령을 구한 '대통령의 차',한국일보,2024.08.22.,1,n
상수된 중국발 공급과잉… 한국 기업 손익은 고차방정식,국민일보,2024.08.22.,1,y
"기아, 전기차 배터리 이상 징후땐 차주에 메시지… 렉서스, 무상점검",국민일보,2024.08.22.,2,w
"EU, 中전기차 추가관세율 소폭 내렸지만… 中 반발 여전",동아일보,2024.08.22.,2,w
"볼보, 내달 대형 전기트럭 국내 도입… ‘보조금 지급’ 핫이슈 전망",동아일보,2024.08.22.,1,n
"울산 신축 단지, 전기차 지상 주차 의무화",동아일보,2024.08.22.,2,y
"국토부, 리콜 불응 전기차에 페널티 부과 검토",동아일보,2024.08.22.,2,y
[김종구 칼럼] 극일 이룩한 국민‚ 반일 멈춰선 정치,경기일보,2024.08.22.,1,n
르노코리아 그랑 콜레오스 ‘이달의 차’ 선정,국민일보,2024.08.22.,1,y
전기차 '속도조절' 나선 포드…배터리 생산거점 유럽서 美로,한국경제,2024.08.22.,1,y
[일사일언] 장비발 대신 아버지발,조선일보,2024.08.22.,1,w
사람 수십명 뽑아 로봇에 매일 7시간 인간 행동 가르쳤다,조선일보,2024.08.22.,2,w
"[최순화의 마켓&마케팅] 절제 소비 ‘노바이’ 트렌드, 고물가 시대 일...",중앙일보,2024.08.22.,2,n
[사설] 유한양행 렉라자 '대박' 예감…제약 강국 초석 되길,한국경제,2024.08.22.,2,w
"강릉소방서, 주차장 전기차 충전시설 점검",강원도민일보,2024.08.22.,2,w
대만 국가전략 빅픽처…TSMC 유럽 1호 공장 독일서 기공식 열었다,중앙일보,2024.08.22.,2,w
"[최준영의 Energy 지정학] 中, 세계 태양광 패널 80% 생산… 美는 수입금...",조선일보,2024.08.22.,1,n
[동아광장/허정]일본 지진 리스크에 노출된 한국 제조기업,동아일보,2024.08.23.,1,n
곳곳이 '물류파업 지뢰밭'…美 공급망 위기,한국경제,2024.08.23.,2,n
"성 김 현대차 고문, 미국 '조지 F 케넌상' 받아",한국경제,2024.08.23.,2,y
투자로 불황 정면돌파…삼성 23조·현대차 7조 쏟아 '미래' 챙긴다,한국경제,2024.08.23.,2,y
성 김 현대차 고문 美 '조지 F 케넌상',매일경제,2024.08.23.,2,y
현대차가 쏘아올린 산업계 '재고용 바람',한국경제,2024.08.23.,1,y
4대그룹 '공격 투자'…번 돈 50조원 다 썼다,한국경제,2024.08.23.,1,y
대규모 리콜에 화재·판매량 급감…테슬라 ‘산 넘어 산’,서울경제,2024.08.23.,1,n
2분기 세계 기업 순익 1.1조弗…AI 확산이 견인,서울경제,2024.08.23.,2,y
"'M·N·A' 뺀 나머지는 주춤…M7, 실적 따라 희비 갈렸다",한국경제,2024.08.23.,2,w
"기아, 기본급 11만2000원 인상 제시…직무별 수당 차등 인상 추진",아시아경제,2024.08.23.,1,w
한은 “미국 성장 둔화땐 철강 등 ‘중간재 수출’ 타격”,문화일보,2024.08.23.,2,n
섬유 → 석유 → 통신… 10년마다 새 우물판 ‘혁신 아이콘’,문화일보,2024.08.23.,1,w
"1964년 구로공단 시작 ‘산업화의 서막’-산업단지 60년, 과거 현재 미래...",헤럴드경제,2024.08.23.,1,w
트럼프·바이든 측근 의원들 방한…한미일 경제대화 참석,서울경제,2024.08.23.,1,w
기술력 빛난 제네시스·현대차…美 시장 만족도 조사 '정상'에,서울경제,2024.08.23.,1,w
"“만화, 전쟁처럼 그렸지… 그래도 하길 참 잘했어”[M 인터뷰]",문화일보,2024.08.23.,1,y
